Location,d2H_CH4,d13C_CH4,Group,Soil_Classification,Caldera
VCSS_25May2019_3.2.1,-183.9,-42.79,Sulphur Springs,Acid-Sulphate,VCNP
VCHB_26May2019_1.2.1,-322.4,-56.95,Hummingbird,Unclassified,VCNP
VCSD_28May2019_1.3,-70.1,-45.92,Soda Dam,Travertine,VCNP
GVNT_06Jun2019_2.2,-125.8,-42.55,Gas Vents (Solfatara Springs),Acid-Sulphate,YNP
EETR_10Jun2019_2.1,-144.9,-41.42,Eastren Yellowstone,Acid-Sulphate,YNP
MDVC_09Jun2019_2.3,-102.2,-44.72,Mud Volcano,Acid-Sulphate,YNP
NBGN_11Jun2019_1.2,-68,-46.14,Norris GB,Neutral-Chloride,YNP
NGBN_STMB_12Jun2019_1.1,-206.1,-28.59,Norris GB,Neutral-Chloride,YNP
MMTH_15Jun2019_4.1,-76.7,-44.97,Mammoth HS,Travertine,YNP
Beowulf Spring,-241.323,-26.325,Norris GB,Neutral-Chloride,Moran
Grendel Spring,-241.141,-27.032,Norris GB,Neutral-Chloride,Moran
Grendel Spring,-235.66,-26.609,Norris GB,Neutral-Chloride,Moran
Porcelain Basin,-227.906,-27.153,Norris GB,Neutral-Chloride,Moran
Porcelain Basin,-238.894,-27.774,Norris GB,Neutral-Chloride,Moran
Echinus Spring,-234.596,-27.997,Norris GB,Neutral-Chloride,Moran
Echinus Spring,-238.637,-27.536,Norris GB,Neutral-Chloride,Moran
Echinus Spring,-229.874,-28.918,Norris GB,Neutral-Chloride,Moran
Echinus Spring,-234.256,-28.85,Norris GB,Neutral-Chloride,Moran
Monarch Geyser,-238.563,-27.598,Norris GB,Neutral-Chloride,Moran
Monarch Geyser,-232.314,-27.542,Norris GB,Neutral-Chloride,Moran
Cistern Spring,-234.61,-27.922,Norris GB,Neutral-Chloride,Moran
Cistern Spring,-238.918,-27.674,Norris GB,Neutral-Chloride,Moran
Crater Hills,-238.236,-20.512,Mud Volcano,Acid-Sulphate,Moran
Joseph Coat 3,-223.1,-23.938,Other,Unclassified,Moran
Washburn Spring,-222.4,-24.917,Other,Unclassified,Moran
Narrow Gauge,-272.248,-30.184,Mammoth HS,Travertine,Moran
